sesion,gamma_url,presentacion_url,video_url,video_modo,audio_url,audio_modo
1,https://gamma.app/docs/5t6jb4n2qt87mpa,https://drive.google.com/file/d/1OuV1vDK-yDl-HYPGBxUhXpr5ZhIaJw62/view?usp=drive_link,https://drive.google.com/file/d/1mKAvqrb6Lv0oxBl88A6RC6DMbkmb5lkQ/view?usp=drive_link,ambos,https://drive.google.com/file/d/1nbraBSSAhsNvBYffjVCbj7xPDnLeExX4/view?usp=drive_link,ambos
2,https://gamma.app/docs/dfiaxb1z4wk0ncj,https://drive.google.com/file/d/1YfP0-dX-pcLYVSiKEIMe8WhbVMKfsqvB/view?usp=drive_link,https://drive.google.com/file/d/1JqbK1XJar9bSsd_RMwkrCA7GPV6MeBDx/view?usp=drive_link,ambos,https://drive.google.com/file/d/1FcbnbUQ_cAbC-g4dY9kc9_Wj-Uli66bQ/view?usp=drive_link,ambos
3,https://gamma.app/docs/ivebow3beth1tx8,https://drive.google.com/file/d/1G99vfAV7iClR7azEdz3MEyuFRDIcH7wl/view?usp=drive_link,https://drive.google.com/file/d/1QPo_se45EkXoP-dsJAAC_9PvTsXsJkWk/view?usp=drive_link,ambos,https://drive.google.com/file/d/1pa6lHotvzylCFXusysf3er6G3Zyy_lvH/view?usp=sharing,ambos
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
